route_id,scenario,campaign_budget_cad,route_segment,end_of_period_route_status,capacity_required_flag,baseline_annual_passenger_proxy,max_lift_pct_adjusted,half_saturation_spend_cad_adjusted,response_share,incremental_passenger_proxy,incremental_pct_of_baseline_proxy,cost_per_incremental_passenger_proxy_cad,incremental_route_health_points,marketing_support_priority_score_v0,route_sustainability_score_v0,data_confidence_score,source_recommendation,selected_test_budget_cad,scenario_note
YXU_YVR,base,75000,long_haul,inactive,1,34036.8387,0.0431,162000.0000,0.3165,464.3332,0.0136,161.5219,2.7426,67.3961,68.8231,81.4236,Relaunch feasibility test; verify airline capacity first,75000,Central scenario for long-haul regional access campaigns.
YXU_YVR,optimistic,75000,long_haul,inactive,1,34036.8387,0.0790,135000.0000,0.3571,1076.0148,0.0316,69.7016,4.3019,67.3961,68.8231,81.4236,Relaunch feasibility test; verify airline capacity first,75000,Upper scenario for long-haul routes with pent-up demand or strong anchor-market demand.
YXX_YYC,conservative,100000,medium_haul,active,0,104806.1537,0.0212,90000.0000,0.5263,1051.5306,0.0100,95.0995,2.6065,65.8572,77.5137,93.7500,Run test-and-learn marketing,100000,Lower-bound response for regional connectivity campaigns.
YXX_YYC,base,100000,medium_haul,active,0,104806.1537,0.0477,80000.0000,0.5556,2774.8723,0.0265,36.0377,4.1009,65.8572,77.5137,93.7500,Run test-and-learn marketing,100000,Central scenario for medium-haul regional-to-hub campaigns.
YXX_YYC,optimistic,100000,medium_haul,active,0,104806.1537,0.0847,70000.0000,0.5882,5850.0838,0.0558,17.0938,6.1548,65.8572,77.5137,93.7500,Run test-and-learn marketing,100000,Upper scenario for well-timed regional route campaigns.
YXU_YYC,conservative,100000,long_haul,active,0,62012.9228,0.0267,130000.0000,0.4348,647.2833,0.0104,154.4919,2.6000,63.3966,80.8266,100.0000,Run test-and-learn marketing,100000,Lower-bound response for long-haul regional access where awareness may matter but capacity risk remains.
YXU_YYC,base,100000,long_haul,active,0,62012.9228,0.0640,120000.0000,0.4545,1804.5473,0.0291,55.4156,4.1334,63.3966,80.8266,100.0000,Run test-and-learn marketing,100000,Central scenario for long-haul regional access campaigns.
YXU_YYC,optimistic,100000,long_haul,active,0,62012.9228,0.1174,100000.0000,0.5000,4075.8708,0.0657,24.5346,6.5834,63.3966,80.8266,100.0000,Run test-and-learn marketing,100000,Upper scenario for long-haul routes with pent-up demand or strong anchor-market demand.
YKF_YHZ,conservative,25000,medium_haul,active,0,37173.4059,0.0209,90000.0000,0.2174,152.3419,0.0041,164.1046,1.2319,59.4606,67.9848,100.0000,Watchlist; improve evidence first,25000,Lower-bound response for regional connectivity campaigns.
YKF_YHZ,base,25000,medium_haul,active,0,37173.4059,0.0471,80000.0000,0.2381,417.1266,0.0112,59.9338,1.9822,59.4606,67.9848,100.0000,Watchlist; improve evidence first,25000,Central scenario for medium-haul regional-to-hub campaigns.
YKF_YHZ,optimistic,25000,medium_haul,active,0,37173.4059,0.0838,70000.0000,0.2632,917.9713,0.0247,27.2340,3.0603,59.4606,67.9848,100.0000,Watchlist; improve evidence first,25000,Upper scenario for well-timed regional route campaigns.
YXX_YEG,conservative,50000,medium_haul,active,0,101468.0834,0.0205,90000.0000,0.3571,668.0098,0.0066,74.8492,1.6080,58.7321,71.5851,93.7500,Maintain service; monitor capacity and leakage,50000,Lower-bound response for regional connectivity campaigns.
YXX_YEG,base,50000,medium_haul,active,0,101468.0834,0.0461,80000.0000,0.3846,1798.4880,0.0177,27.8011,2.5984,58.7321,71.5851,93.7500,Maintain service; monitor capacity and leakage,50000,Central scenario for medium-haul regional-to-hub campaigns.
YXX_YEG,optimistic,50000,medium_haul,active,0,101468.0834,0.0819,70000.0000,0.4167,3879.4052,0.0382,12.8886,4.0168,58.7321,71.5851,93.7500,Maintain service; monitor capacity and leakage,50000,Upper scenario for well-timed regional route campaigns.
YHM_YEG,conservative,25000,long_haul,active,0,76834.1360,0.0219,156000.0000,0.1381,209.3642,0.0027,119.4092,0.7299,58.3503,63.8230,47.2222,Watchlist; improve evidence first,25000,Lower-bound response for long-haul regional access where awareness may matter but capacity risk remains.
YHM_YEG,base,25000,long_haul,active,0,76834.1360,0.0526,144000.0000,0.1479,597.9474,0.0078,41.8097,1.1786,58.3503,63.8230,47.2222,Watchlist; improve evidence first,25000,Central scenario for long-haul regional access campaigns.
YHM_YEG,optimistic,25000,long_haul,active,0,76834.1360,0.0964,120000.0000,0.1724,1431.0050,0.0186,17.4702,1.9721,58.3503,63.8230,47.2222,Watchlist; improve evidence first,25000,Upper scenario for long-haul routes with pent-up demand or strong anchor-market demand.
YLW_YYC,conservative,50000,medium_haul,active,0,57222.4940,0.0203,90000.0000,0.3571,373.4143,0.0065,133.8995,1.9187,56.8998,81.4194,93.7500,Maintain service; monitor capacity and leakage,50000,Lower-bound response for regional connectivity campaigns.
YLW_YYC,base,50000,medium_haul,active,0,57222.4940,0.0457,80000.0000,0.3846,1005.3463,0.0176,49.7341,3.0420,56.8998,81.4194,93.7500,Maintain service; monitor capacity and leakage,50000,Central scenario for medium-haul regional-to-hub campaigns.
YLW_YYC,optimistic,50000,medium_haul,active,0,57222.4940,0.0812,70000.0000,0.4167,2168.5693,0.0379,23.0567,4.6131,56.8998,81.4194,93.7500,Maintain service; monitor capacity and leakage,50000,Upper scenario for well-timed regional route campaigns.
YLW_YVR,conservative,50000,short_haul,active,0,630614.5819,0.0148,60000.0000,0.4545,3808.1052,0.0060,13.1299,1.4986,50.5784,86.3659,93.7500,Maintain service; monitor capacity and leakage,50000,Low response because many short-haul routes are already convenience-driven or substitution-heavy.
YLW_YVR,base,50000,short_haul,active,0,630614.5819,0.0295,50000.0000,0.5000,9308.7015,0.0148,5.3713,2.4047,50.5784,86.3659,93.7500,Maintain service; monitor capacity and leakage,50000,Central scenario for short-haul route marketing support.
YLW_YVR,optimistic,50000,short_haul,active,0,630614.5819,0.0541,45000.0000,0.5263,20119.8601,0.0319,2.4851,3.6009,50.5784,86.3659,93.7500,Maintain service; monitor capacity and leakage,50000,Upper scenario when route awareness and leakage recapture are meaningful.
YHM_YYC,conservative,25000,long_haul,active,0,101330.9987,0.0198,156000.0000,0.1381,249.2420,0.0025,100.3041,0.6399,46.5879,68.0399,35.0694,Needs schedule data before spend decision,25000,Lower-bound response for long-haul regional access where awareness may matter but capacity risk remains.
YHM_YYC,base,25000,long_haul,active,0,101330.9987,0.0475,144000.0000,0.1479,711.8391,0.0070,35.1203,1.0368,46.5879,68.0399,35.0694,Needs schedule data before spend decision,25000,Central scenario for long-haul regional access campaigns.
YHM_YYC,optimistic,25000,long_haul,active,0,101330.9987,0.0871,120000.0000,0.1724,1703.5701,0.0168,14.6751,1.7407,46.5879,68.0399,35.0694,Needs schedule data before spend decision,25000,Upper scenario for long-haul routes with pent-up demand or strong anchor-market demand.
YLW_YEG,conservative,25000,medium_haul,active,0,65230.6149,0.0167,108000.0000,0.1880,183.8164,0.0028,136.0053,0.8393,44.5366,68.3102,52.0833,Low priority for marketing allocation,25000,Lower-bound response for regional connectivity campaigns.
YLW_YEG,base,25000,medium_haul,active,0,65230.6149,0.0375,96000.0000,0.2066,505.1153,0.0077,49.4937,1.3566,44.5366,68.3102,52.0833,Low priority for marketing allocation,25000,Central scenario for medium-haul regional-to-hub campaigns.
YLW_YEG,optimistic,25000,medium_haul,active,0,65230.6149,0.0666,84000.0000,0.2294,1116.4643,0.0171,22.3921,2.1054,44.5366,68.3102,52.0833,Low priority for marketing allocation,25000,Upper scenario for well-timed regional route campaigns.
YHM_YVR,conservative,25000,long_haul,active,0,105896.3025,0.0184,156000.0000,0.1381,242.2748,0.0023,103.1886,0.6226,44.1572,64.4343,19.4444,Needs schedule data before spend decision,25000,Lower-bound response for long-haul regional access where awareness may matter but capacity risk remains.
YHM_YVR,base,25000,long_haul,active,0,105896.3025,0.0442,144000.0000,0.1479,691.9408,0.0065,36.1303,1.0034,44.1572,64.4343,19.4444,Needs schedule data before spend decision,25000,Central scenario for long-haul regional access campaigns.
YHM_YVR,optimistic,25000,long_haul,active,0,105896.3025,0.0810,120000.0000,0.1724,1655.9495,0.0156,15.0971,1.6760,44.1572,64.4343,19.4444,Needs schedule data before spend decision,25000,Upper scenario for long-haul routes with pent-up demand or strong anchor-market demand.
